,US-JP_2Y,US-AU_2Y,US-CA_2Y,US-EU_2Y,US-GB_2Y,US-JP_10Y,US-AU_10Y,US-CA_10Y,US-EU_10Y,US-GB_10Y,US-JP_CPI_YOY,US-AU_CPI_YOY,US-CA_CPI_YOY,US-EU_CPI_YOY,US-GB_CPI_YOY,VIX
2011-08-29,0.2,0.2,0.2,0.2,0.2,1.257,-2.2125,-0.1663636363636405,-1.92809452555615,-0.5033000000000003,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,32.28
2011-08-30,0.2,0.2,0.2,0.2,0.2,1.167,-2.3024999999999998,-0.25636363636364035,-2.0180945255561498,-0.5933000000000002,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,32.89
2011-08-31,0.2,0.2,0.2,0.2,0.2,1.207,-2.2624999999999997,-0.2163636363636403,-1.9780945255561497,-0.5533000000000001,3.543360141726648,0.3352935797124701,0.6701639343551502,1.1886908658847117,-0.11668538522111582,31.62
2011-09-01,0.19,0.19,0.19,0.19,0.19,1.1749999999999998,-2.0524999999999998,-0.046666666666669965,-1.88796949195519,-0.3540000000000001,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,31.82
2011-09-02,0.2,0.2,0.2,0.2,0.2,1.045,-2.1824999999999997,-0.17666666666666986,-2.01796949195519,-0.484,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,33.92
2011-09-05,0.2,0.2,0.2,0.2,0.2,1.045,-2.1824999999999997,-0.17666666666666986,-2.01796949195519,-0.484,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,33.92
2011-09-06,0.21,0.21,0.21,0.21,0.21,1.005,-2.2224999999999997,-0.2166666666666699,-2.05796949195519,-0.524,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,37.0
2011-09-07,0.21,0.21,0.21,0.21,0.21,1.0749999999999997,-2.1525,-0.14666666666667005,-1.98796949195519,-0.4540000000000002,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,33.38
2011-09-08,0.19,0.19,0.19,0.19,0.19,1.025,-2.2024999999999997,-0.19666666666666988,-2.03796949195519,-0.504,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,34.32
2011-09-09,0.17,0.17,0.17,0.17,0.17,0.955,-2.2725,-0.26666666666666994,-2.10796949195519,-0.5740000000000001,3.812621692818685,0.39291924182307536,0.6475238645793135,0.8154048227694499,-0.7227765372697981,38.52
